DUT_SN,Sys_Type,Test_Group,Test_Name,Board_SN,BPU_SN,Chip_Type,Chip_Num,Channel,PA,Result,Units,Min_Limit_ATE,Max_Limit_ATE,Verdict_ATE,Error_Msg,LOM_Freq_Config_MHz,RF_Freq_Config_MHz,Signal_Type,DTS_C,Iteration,Chip_ATE_SN,OTP_ID,Chip_Step,Digital_Backoff,Gain_State_dB,PS_Current_Meas_A,PS_Voltage_Meas_V,0V95_Meas_V,1V25_Meas_V,1V8_Meas_V,Lo_Rejection_dBc,Lsb_Rejection_dBc,RF_Freq_Meas_MHz,RF_PeakPower_Meas_dBm,R_Meter_Value_Dword,R_Meter_R_Ratio,R_Meter_Msg,Rc_Delta_Tau_Meas,Rc_Delta_Tau_Ratio,Rc_Tau_0_Res,Rc_Tau_1_Res,Name_Limit_ATE,OTP_Version,Driver_Version,Tester_Version,SRA_Version,SW_Version,Radar_API_Version,Limits_Doc_Version,PC_Name,Measure_Antenna_dBi,Corner_Reflector_dBsm,Radom,Absorber,Antenna_Distance_m,Corner_Reflector_Distance_m,Spectrum_Type,User_Data,Note,Time,Global_Time
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,3,2,-0.3824718,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,3,1,0.483269393,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,2,1,0.809470415,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,2,2,-0.116666317,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,1,2,-0.539851189,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,1,1,0.48650521,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,0,1,-1.36423671,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,1,0,2,-0.484064341,dB,-5.0,5.0,1,,76128.75,,MRR,65,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,0,3,2,2.04346561,dB,-5.0,5.0,1,,76128.75,,MRR,64,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
4432102105000898,bsr32,SRA,Gain_MMt,,4330102202001235,Tx,0,3,1,-0.329886556,dB,-5.0,5.0,1,,76128.75,,MRR,64,1,,,B0,,,,,,,,,,0,0,,,,,,,,,,2.2.10,HVT_BPU_V1.0.2-108-gdf5401f,Algo_3.12.0,v3.11.2,3.11.2.dev2,,radarlnx-hvt2,15,-20,POR,POR,1.6,6.26,Rohde & Schwarz FSW26,IQ_RECORDING,,2025-05-11--19-17-08,2025-05-11--19-09-55
